cpower1,cspeed1,c1 LED,c1 VED,cpower2,cspeed2,c2 LED,c2 VED,angle,eta_SID,rho_s_SID,sig_s_SID,Sa,Sq,Ssk,Sku,sigma_s_rho,Sdq,Sdr
124.2,390,0.318461538,7.961538462,72,800,0.09,2.25,25,0.0787,1.2208,18.7968,14.6987,19.0153,0.4008,3.5327,15.39711664,61.509,111.815
124.2,390,0.318461538,7.961538462,72,800,0.09,2.25,30,0.0817,1.221,17.2725,13.8805,17.5641,0.5279,3.3722,14.14619165,61.049,107.188
124.2,390,0.318461538,7.961538462,72,800,0.09,2.25,35,0.0872,1.3006,14.2026,10.6768,14.3565,0.8027,4.93,10.92003691,61.185,110.35
124.2,390,0.318461538,7.961538462,72,800,0.09,2.25,40,0.0896,1.4016,11.6679,8.6531,11.9183,0.7859,4.9775,8.324700342,60.932,106.51
124.2,390,0.318461538,7.961538462,72,800,0.09,2.25,45,0.0902,1.3035,11.6433,9.2269,11.7874,0.7062,4.3304,8.932336018,62.329,121.363
124.2,390,0.318461538,7.961538462,72,800,0.09,2.25,50,0.0929,1.2754,9.7806,7.6519,10.0915,1.009,6.0424,7.668652972,60.362,105.025
124.2,390,0.318461538,7.961538462,72,800,0.09,2.25,55,0.0981,1.0831,8.6517,6.6015,8.7126,0.8925,5.3728,7.987905087,64.514,144.862
124.2,390,0.318461538,7.961538462,72,800,0.09,2.25,60,0.0967,1.2249,8.2072,6.4449,8.4123,0.8162,4.6151,6.700302065,60.639,108.289
124.2,390,0.318461538,7.961538462,72,800,0.09,2.25,65,0.0995,1.0581,8.2496,6.1219,8.4245,1.163,6.4793,7.796616577,64.745,149.778
124.2,390,0.318461538,7.961538462,72,800,0.09,2.25,70,0.0961,1.1256,7.8775,5.7327,8.1507,1.6585,8.1405,6.998489694,64.72,151.775
124.2,390,0.318461538,7.961538462,72,800,0.09,2.25,75,0.0951,1.2246,7.3495,5.3308,7.5239,1.4065,6.9935,6.001551527,61.881,121.522
124.2,390,0.318461538,7.961538462,72,800,0.09,2.25,80,0.1041,0.9032,8.4464,6.2182,8.5252,1.1707,6.0337,9.351638618,68.904,221.079
124.2,390,0.318461538,7.961538462,72,800,0.09,2.25,85,0.0997,1.0374,8.4442,6.3454,8.9899,1.6432,8.6314,8.139772508,70.451,260.909
124.2,390,0.318461538,7.961538462,72,800,0.09,2.25,90,0.0957,1.0308,11.5484,8.5543,12.4714,2.0682,10.6376,11.20333721,68.62,218.687
138,390,0.353846154,8.846153846,80,800,0.1,2.5,0,0.0878,1.1572,20.8451,17.5544,22.176,-0.161,3.202,18.0133944,55.472,71.452
138,390,0.353846154,8.846153846,80,800,0.1,2.5,5,0.0702,1.0207,41.6791,33.1856,41.7716,0.5721,3.0262,40.83383952,67.519,177.202
